Date,Price,Open,High,Low,Vol,percent
"Feb 01, 2018",59258.37,59456.87,59865.28,59046.19,352.43M,-0.42%
"Jan 31, 2018",59506.12,59716.34,59856.16,59384.94,311.07M,-0.07%
"Jan 30, 2018",59546.23,60315.28,60342.72,59328.07,358.37M,-2.07%
"Jan 29, 2018",60806.9,61560.15,61619.24,60697.12,356.09M,-1.28%
"Jan 26, 2018",61595.86,61768.79,61776.68,61422.96,294.05M,-0.14%
"Jan 25, 2018",61684.77,61398.66,61696.75,61210.87,273.90M,0.10%
"Jan 24, 2018",61623.13,61597.81,61704.25,61377.18,298.51M,0.24%
"Jan 23, 2018",61475.44,61342.45,61620.98,61327.72,350.59M,0.68%
"Jan 22, 2018",61060.28,61041.9,61190.94,60856.58,297.97M,0.24%
"Jan 19, 2018",60912.88,60953.24,61023.21,60613.97,273.31M,-0.02%
"Jan 18, 2018",60922.55,61033.47,104919.62,60680.99,351.51M,-0.00%
"Jan 17, 2018",60924.46,60633.55,61309.18,60434.59,286.11M,0.45%
"Jan 16, 2018",60649.6,60368.58,60706.97,60305.8,252.83M,0.68%
"Jan 15, 2018",60240.96,60155.29,60320.54,60032.71,190.32M,0.26%
"Jan 12, 2018",60083.13,59884.29,60083.13,59732.58,165.48M,0.80%
"Jan 11, 2018",59606.02,59738.2,59789.08,59356.89,394.14M,-0.62%
"Jan 10, 2018",59979.63,60000.6,60182.7,59689.21,483.82M,-0.22%
"Jan 09, 2018",60113.65,60116.69,60206.59,59888.4,204.14M,0.13%
"Jan 08, 2018",60038.39,59857.94,60082.44,59604.1,173.36M,0.54%
"Jan 05, 2018",59717.2,59479.19,59835.12,59263.93,156.62M,0.40%
"Jan 04, 2018",59476.77,59569.48,59820.59,59027.01,221.70M,-0.26%
"Jan 03, 2018",59629.64,60070.74,60150.69,59008.78,165.49M,-0.17%
"Jan 02, 2018",59731.16,59728.85,59790.28,59308.36,149.54M,0.38%
"Dec 29, 2017",59504.67,59076.94,59504.67,58817.11,90.55M,0.94%
"Dec 28, 2017",58952.89,58860.01,59020.93,58505.98,133.24M,0.19%
