Company,Symbol,JSE code,Sector,Sector inclusion,No code,Drama,Manual,Included
4Sight Holdings Limited,4SI,JSE:4SI,Financial Services,Yes,Yes,,,
ABSA Bank Limited,ABSP,JSE:ABSP,Banks,Yes,Yes,,,
Accelerate Property Fund Limited,APF,JSE:APF,Real Estate Investment Trusts,Yes,Yes,,,
Accentuate Limited,ACE,JSE:ACE,Chemicals,Yes,Yes,,,
Acsion Limited,ACS,JSE:ACS,Real Estate Investment & Services,Yes,Yes,,,
Adapt It Holdings Limited,ADI,JSE:ADI,Software & Computer Services,Yes,Yes,,,
Adcock Ingram Holdings Limited,AIP,JSE:AIP,Pharmaceuticals & Biotechnology,Yes,Yes,,,
Adcorp Holdings Limited,ADR,JSE:ADR,Support Services,Yes,Yes,,,
Adrenna Property Group Limited,ANA,JSE:ANA,Real Estate Investment & Services,Yes,Yes,,,
Advanced Health Limited,AVL,JSE:AVL,Health Care Equipment & Services,Yes,Yes,,,
Advtech Limited,ADH,JSE:ADH,General Retailers,Yes,Yes,,,
AECI Limited,AFE,JSE:AFE,Chemicals,Yes,Yes,,,
AEP Energy Africa Limited,AEY,JSE:AEY,Financial Services,Yes,Yes,,,
African And Overseas Enterprises Limited,AOO,JSE:AOO,General Retailers,Yes,Yes,,,
African Bank Investments Limited,ABL,JSE:ABL,Financial Services,Yes,No,,Discuss,
African Dawn Capital Limited,ADW,JSE:ADW,Financial Services,Yes,Yes,,,
African Eagle Resources Plc,AEA,JSE:AEA,Industrial Metals & Mining,No,No,,,
African Equity Empowerment Investments Limited,AEE,JSE:AEE,Financial Services,Yes,Yes,,,
African Media Entertainment Limited,AME,JSE:AME,Media,Yes,Yes,,,
African Oxygen Limited,AFX,JSE:AFX,Chemicals,Yes,Yes,,,
African Rainbow Minerals Limited,ARI,JSE:ARI,Industrial Metals & Mining,No,No,,,
Afrimat Limited,AFT,JSE:AFT,Construction & Materials,Yes,Yes,,,
Afrocentric Investment Corp Limited,ACT,JSE:ACT,Financial Services,Yes,Yes,,,
AH-Vest Limited,AHL,JSE:AHL,Food Producers,Yes,Yes,,,
Alaris Holdings Limited,ALH,JSE:ALH,Aerospace & Defense,No,No,,Discuss,
Alert Steel Holdings Limited,AET,JSE:AET,General Retailers,Yes,Yes,,,
Alexander Forbes Group Holdings Limited,AFH,JSE:AFH,Financial Services,Yes,Yes,,,
Allied Electronics Corporation Limited,AEL,JSE:AEL,Software & Computer Services,Yes,Yes,,,
Amalgamated Electronic Corp Limited,AER,JSE:AER,Electronic & Electrical Equipment,Yes,Yes,,,
Anchor Group Limited,ACG,JSE:ACG,Financial Services,Yes,Yes,,,
Andulela Investment Holdings Limited,AND,JSE:AND,Industrial Metals & Mining,No,No,,,
Anglo American Platinium Limited,AMS,JSE:AMS,Mining,No,No,,,
Anglo American Plc,AGL,JSE:AGL,Mining,No,No,,,
Anglogold Ashanti Limited,ANG,JSE:ANG,Mining,No,No,,,
AB InBev,ANB,JSE:ANB,Beverages,Yes,Yes,,Discuss,
Ansys Limited,ANS,JSE:ANS,Industrial Transportation,Yes,Yes,,,
ARB Holdings Limited,ARH,JSE:ARH,Support Services,Yes,Yes,,,
